Title,url friendly,From.,To date,Curated,Additional info,Include selected images content,Tags,Source
Infringes,infringes,23 October 2024,22 December 2024,Komtouch Napattaloong,"<p>1. Chulayarnnon Siriphol, “Birth of Golden Snail”, 2018, 16 mm film, black & white, silence, 20 minutes.</p> <p>2. Aura Satz, “While Smoke Signals”, 2023, color, sound, 9 minutes.</p> <p>3. Jiří Žák, “Unfinished Love Letter”, 2020, color, sound, 23 minutes.</p> <p>4. Riar Rizaldi, “Notes from Gog Magog”, 2022, color, sound, 20 minutes.</p> <p>5. Rhea Storr, “A Protest, A Celebration, A Mixed Message”, 2018, color, sound, 12 minutes.</p> <p>6. Martha Atienza, “Anito”, 2015, color, sound, 9 minutes.</p> <p>7. Sky Hopinka, “I’ll Remember You as You Were, Not as What You’ll Become”, 2016, color, sound, 13 minutes.</p>","<ul> <li>Aura Satz, “While Smoke Signals”, 2023. Installation view, Bangkok Kunsthalle. Photo by Puttisin Choojesroom.</li> <li>Jiří Žák, “Unfinished Love Letter”, 2020. Installation view, Bangkok Kunsthalle. Photo by Puttisin Choojesroom.</li> <li>Sky Hopinka, “I’ll Remember You as You Were, Not as What You’ll Become”, 2016. Installation view, Bangkok Kunsthalle. Photo by Puttisin Choojesroom.</li> </ul>","Power, Space, History, Memory, Speculative Interventions, Resistance, Institutional Power, Mythology",1
Shapeshifting Spaces: stretched by the desires within them,shapeshifting-spaces,17 January 2025,27 February 2025,Rosalia Namsai Engchuan,"<p>1. Surapong Pinijkhar, “Sampeng (The Chinatown Montage)”, 1982, 16 mm film, color, sound, 60 minutes.</p> <p>2. Ming Wong, “After Chinatown”, 2012, black & white, sound, 7:09 minutes.</p> <p>3. Doug Aitken, “Wilderness”, 2022, color, sound, 13:54 minutes.</p> <p>4. Lawrence Lek, “Black Cloud”, 2021, color, sound, 11 minutes.</p>","<ul> <li>Surapong Pinijkhar, “Sampeng (The Chinatown Montage)”, 1982. Installation view, Bangkok Kunsthalle. Photo by Puttisin Choojesroom.</li> <li>Ming Wong, “After Chinatown”, 2012. Installation view, Bangkok Kunsthalle. Photo by Puttisin Choojesroom.</li> <li>Doug Aitken, “Wilderness”, 2022. Installation view, Bangkok Kunsthalle. Photo by Puttisin Choojesroom.</li> </ul>","Chinatown, Transformation, Migration, Techno-orientalism, Capitalist Acceleration, Ecological Decay, Collective Memory",1
we gather,we-gather,28 February 2025,27 April 2025,Rosalia Namsai Engchuan,"<p>1. Cinthia Marcelle and Tiago Mata Machado, “Comunidade”, 2015 - 2016, color, sound, 8:16 minutes.</p> <p>2. Isaac Chong Wai, “Rehearsal of the Futures: Police Training Exercises”, 2018, performance and video, 18:14 minutes.</p> <p>3. Andrew Norman Wilson, “Silvesterchläusen”, 2024, color, sound, 12:17 minutes.</p> <p>4. Saodat Ismailova, “Chillpiq”, 2018, color, sound, 17 minutes.</p> <p>5. AFSAR×DAVRA, “Proxy Conference: In Forest”, 2023, color, sound, 35:04 minutes.</p>","<ul> <li>AFSAR×DAVRA, “Proxy Conference: In Forest”, 2023. Installation view, Bangkok Kunsthalle. Photo by Puttisin Choojesroom.</li> </ul>","Assembly, Resistance, Spiritual Bonds, Communal, Rehearsals, Speculations, Accelerated Capitalism",1
seeds,seeds,30 April 2025,22 June 2025,Rosalia Namsai Engchuan,"<p>1. Tang Han, “Ginkgo and Other Times”, 2023, color, sound, 15 minutes.</p> <p>2. Mooni Perry, “Binlang Xishi: Chapter 1 and 2”, 2021 - 2022, color, sound, 25 minutes.</p>",Not in source,"Relationality, Temporality, Vernacular Knowledge, Plant-centered Storytelling, Colonial Order, Critical Fabulism",1
Search for Life I / WORKWORKWORK,search-for-life-i,22 November 2025,22 February 2026,Rosalia Namsai Engchuan,"<p>1. Stephanie Comilang, “Search for Life I”, 2024, color, sound, 20:20 minutes.</p> <p>2. Prapat Jiwarangsan, “The Wandering Ghost”, 2018, color, sound, 20 minutes.</p> <p>3. Prapat Jiwarangsan, “Ploy”, 2020, color, sound, 51 minutes.</p> <p>4. Kidlat Tahimik, “Perfumed Nightmare”, 1977, color, sound, 91 minutes.</p> <p>5. Shen Xin, “Warm Spell”, 2018, color, sound, 34:22 minutes.</p> <p>6. Jon Uengphakorn, “Hara Factory Workers Struggle”, 1975, 16 mm film, color, sound, 45 minutes.</p>","<ul> <li>Stephanie Comilang, “Search for Life I”, 2024. Installation view, Bangkok Kunsthalle. Photo by Krittawat Atthsis and Prapasiri Kasemkijkajorn.</li> </ul>","Labor, Migration, Diaspora, Colonial Histories, Intergenerational Survival, Global Trade, Socio-economic Struggles",1
Concrete Ghosts,concrete-ghosts,22 March 2026,11 April 2026,Rosalia Namsai Engchuan,"<p>1. Polen Ly, “Becoming Human”, 2025, color, sound, 99 minutes (Screened 22 March 2026).</p> <p>2. Kavich Neang, “White Building”, 2021, color, sound, 90 minutes (Screened 11 April 2026).</p>",Not in source,"Urban Space, Rapid Development, Architecture, Modernity, Cambodia, Fragile Communities",1
Inviting You to Die With Me,inviting-you-to-die-with-me,28 February 2026,3 May 2026,Rosalia Namsai Engchuan,"<p>1. Parinda Mai, “12 Kalpas: A Beginning of Beginning”, 2021, color, sound, 8 minutes.</p> <p>2. Parinda Mai, “Blinded by Centuries”, 2023, color, sound, 14 minutes.</p> <p>3. Hutsama Juntaratana, “Offerings”, 2026, sculptural installation.</p>","<ul> <li>Parinda Mai, “Inviting You to Die With Me”, 2026. Installation view, Bangkok Kunsthalle. Photo by Prapasiri Kasemkijkajorn.</li> </ul>","Healing, Transformation, Astrology, Mythology, Endurance, Trauma, Regeneration, Continuous Birth",1
